name	area	population	populationDensity
新北市-板橋區	23.1373	555,335	24002
新北市-三重區	16.3170	390,421	23927
新北市-中和區	20.1440	414,939	20599
新北市-永和區	5.7138	232,386	40671
新北市-新莊區	19.7383	404,089	20472
新北市-新店區	120.2255	296,581	2467
新北市-樹林區	33.1288	179,788	5427
新北市-鶯歌區	21.1248	87,683	4151
新北市-三峽區	191.4508	105,629	552
新北市-淡水區	70.6565	146,756	2077
新北市-汐止區	71.2354	190,679	2677
新北市-瑞芳區	70.7336	42,031	594
新北市-土城區	29.5578	239,156	8091
新北市-蘆洲區	7.4351	198,373	26681
新北市-五股區	34.8632	80,518	2310
新北市-泰山區	19.1603	77,057	4022
新北市-林口區	54.1519	86,628	1600
新北市-深坑區	20.5787	23,531	1143
新北市-石碇區	144.3498	7,887	55
新北市-坪林區	170.8350	6,533	38
新北市-三芝區	65.9909	23,319	353
新北市-石門區	51.2645	12,841	250
新北市-八里區	39.4933	35,423	897
新北市-平溪區	71.3382	5,197	73
新北市-雙溪區	146.2484	9,555	65
新北市-貢寮區	99.9734	13,538	135
新北市-金山區	49.2132	22,447	456
新北市-萬里區	63.3766	22,204	350
新北市-烏來區	321.1306	5,927	18
臺北市-松山區	9.2878	209,948	22605
臺北市-信義區	11.2077	226,541	20213
臺北市-大安區	11.3614	313,846	27624
臺北市-中山區	13.6821	224,102	16379
臺北市-中正區	7.6071	161,449	21223
臺北市-大同區	5.6815	126,640	22290
臺北市-萬華區	8.8522	190,855	21560
臺北市-文山區	31.5090	266,442	8456
臺北市-南港區	21.8424	116,131	5317
臺北市-內湖區	31.5787	275,652	8729
臺北市-士林區	62.3682	287,072	4603
臺北市-北投區	56.8216	252,290	4440
臺中市-中區	0.8803	21,610	24548
臺中市-東區	9.2855	73,960	7965
臺中市-南區	6.8101	115,032	16891
臺中市-西區	5.7042	117,210	20548
臺中市-北區	6.9376	147,679	21287
臺中市-西屯區	39.8467	209,672	5262
臺中市-南屯區	31.2578	155,768	4983
臺中市-北屯區	62.7034	249,742	3983
臺中市-豐原區	41.1845	165,609	4021
臺中市-東勢區	117.4065	52,780	450
臺中市-大甲區	58.5192	78,118	1335
臺中市-清水區	64.1709	85,629	1334
臺中市-沙鹿區	40.4604	83,238	2057
臺中市-梧棲區	16.6049	55,544	3345
臺中市-后里區	58.9439	54,033	917
臺中市-神岡區	35.0445	63,921	1824
臺中市-潭子區	25.8497	101,781	3937
臺中市-大雅區	32.4109	90,591	2795
臺中市-新社區	68.8874	25,495	370
臺中市-石岡區	18.2105	15,792	867
臺中市-外埔區	42.4099	32,005	755
臺中市-大安區	27.4045	20,081	733
臺中市-烏日區	43.4032	69,224	1595
臺中市-大肚區	37.0024	55,739	1506
臺中市-龍井區	38.0377	74,682	1963
臺中市-霧峰區	98.0779	63,904	652
臺中市-太平區	120.7473	174,284	1443
臺中市-大里區	28.8758	200,588	6947
臺中市-和平區	1,037.8192	10,683	10
臺南市-新營區	38.5386	78,473	2036
臺南市-鹽水區	52.2455	26,891	515
臺南市-白河區	126.4046	30,947	245
臺南市-柳營區	61.2929	22,443	366
臺南市-後壁區	72.2189	25,569	354
臺南市-東山區	124.9178	22,771	182
臺南市-麻豆區	53.9744	45,609	845
臺南市-下營區	33.5291	25,803	770
臺南市-六甲區	67.5471	23,509	348
臺南市-官田區	70.7953	21,965	310
臺南市-大內區	70.3125	10,674	152
臺南市-佳里區	38.9422	59,155	1519
臺南市-學甲區	53.9919	27,583	511
臺南市-西港區	33.7666	25,069	742
臺南市-七股區	110.1492	24,649	224
臺南市-將軍區	41.9796	21,261	506
臺南市-北門區	44.1003	12,254	278
臺南市-新化區	62.0579	44,023	709
臺南市-善化區	55.3097	43,995	795
臺南市-新市區	47.8096	35,035	733
臺南市-安定區	31.2700	30,263	968
臺南市-山上區	27.8780	7,757	278
臺南市-玉井區	76.3662	15,223	199
臺南市-楠西區	109.6316	10,445	95
臺南市-南化區	171.5198	8,840	52
臺南市-左鎮區	74.9025	5,359	72
臺南市-仁德區	50.7664	70,232	1383
臺南市-歸仁區	55.7913	66,104	1185
臺南市-關廟區	53.6413	35,593	664
臺南市-龍崎區	64.0814	4,311	67
臺南市-永康區	40.2753	220,825	5483
臺南市-東區	13.4156	193,782	14445
臺南市-南區	27.2681	126,129	4626
臺南市-北區	10.4340	132,098	12660
臺南市-安南區	107.2016	179,987	1679
臺南市-安平區	11.0663	63,593	5747
台南市-中西區	6.2600	78,741	12578
高雄市-鹽埕區	1.4161	26,723	18871
高雄市-鼓山區	14.7458	132,868	9011
高雄市-左營區	19.3888	193,482	9979
高雄市-楠梓區	25.8276	173,969	6736
高雄市-三民區	19.7866	352,159	17798
高雄市-新興區	1.9764	54,345	27497
高雄市-前金區	1.8573	28,446	15316
高雄市-苓雅區	8.1522	181,717	22291
高雄市-前鎮區	19.1207	197,693	10339
高雄市-旗津區	1.4639	29,781	20344
高雄市-小港區	41.2061	154,772	3756
高雄市-鳳山區	26.7590	345,346	12906
高雄市-林園區	32.2860	70,439	2182
高雄市-大寮區	71.0400	109,157	1537
高雄市-大樹區	66.9811	43,609	651
高雄市-大社區	26.5848	33,296	1252
高雄市-仁武區	36.0808	74,867	2075
高雄市-鳥松區	24.5927	43,191	1756
高雄市-岡山區	47.9421	97,417	2032
高雄市-橋頭區	25.9379	36,809	1419
高雄市-燕巢區	65.3950	30,941	473
高雄市-田寮區	92.6802	8,012	86
高雄市-阿蓮區	34.6164	30,225	873
高雄市-路竹區	48.4348	53,443	1103
高雄市-湖內區	20.1615	28,806	1429
高雄市-茄萣區	15.7624	31,008	1967
高雄市-永安區	22.6141	14,106	624
高雄市-彌陀區	14.7772	20,217	1368
高雄市-梓官區	11.5967	36,559	3153
高雄市-旗山區	94.6122	39,423	417
高雄市-美濃區	120.0316	42,658	355
高雄市-六龜區	194.1584	14,421	74
高雄市-甲仙區	124.0340	6,981	56
高雄市-杉林區	104.0036	12,136	117
高雄市-內門區	95.6224	15,662	164
高雄市-茂林區	194.0000	1,834	9
高雄市-桃源區	928.9800	4,700	5
高雄市-那瑪夏區	252.9895	3,252	13
宜蘭縣-宜蘭市	29.4080	95,521	3248
宜蘭縣-羅東鎮	11.3448	72,860	6422
宜蘭縣-蘇澳鎮	89.0196	42,417	476
宜蘭縣-頭城鎮	100.8930	30,556	303
宜蘭縣-礁溪鄉	101.4278	35,924	354
宜蘭縣-壯圍鄉	38.4769	24,674	641
宜蘭縣-員山鄉	111.9106	32,304	289
宜蘭縣-冬山鄉	79.8573	52,975	663
宜蘭縣-五結鄉	38.8671	38,772	998
宜蘭縣-三星鄉	144.2238	21,203	147
